Hackathon,Website,Start Date,End Date,City,State
HackED,https://hacked.compeclub.com/,2019-01-19,2019-01-20,Edmonton,AB
HackFRee,http://hackfree.info,2019-01-19,2019-01-20,Manalapan,NJ
Rose Hack    ,https://rosehack.com/,2019-01-19,2019-01-20,Riverside,CA
<womxn/hacks>  ,https://www.womxnhacks.com/,2019-01-25,2019-01-27,Santa Barbara,CA
ConUHacks IV  ,https://conuhacks.io/#/,2019-01-26,2019-01-27,Montreal,QC
CUhackit,http://cuhack.it/,2019-01-26,2019-01-27,Clemson,SC
DeltaHacks,https://www.deltahacks.com/,2019-01-26,2019-01-27,Hamilton,ON
EarthHacks,https://earthhacks.vcu.edu/,2019-01-26,2019-01-27,Richmond,VA
nwHacks,http://nwhacks.io,2019-01-26,2019-01-27,Vancouver,BC
TAMUhack,https://tamuhack.com/,2019-01-26,2019-01-27,College Station,TX
ElleHacks,https://ellehacks.com/,2019-02-01,2019-02-03,Toronto,ON
Hoya Hacks ,http://www.hoyahacks.com/,2019-02-01,2019-02-03,Washington,DC
MangoHacks,https://mangohacks.com/,2019-02-01,2019-02-03,Miami,FL
QHacks,https://qhacks.io/,2019-02-01,2019-02-03,Kingston,ON
SLO Hacks,https://www.slohacks.com/,2019-02-01,2019-02-03,San Luis Obispo,CA
AuburnHacks,https://auburnhacks.com/,2019-02-02,2019-02-03,Auburn,AL
MakeHarvard,http://makeharvard.io/,2019-02-02,2019-02-03,Cambridge,MA
McHacks 6,https://mchacks.ca,2019-02-02,2019-02-03,Montreal,QC
MinneHack,https://minnehack.io/,2019-02-02,2019-02-03,Minneapolis,MN
PennApps,http://2019w.pennapps.com/,2019-02-02,2019-02-03,Philadelphia,PA
CalvinHacks,https://calvinhacks.com/,2019-02-08,2019-02-09,Grand Rapids,MI
Hack KU  ,https://hackku.org/,2019-02-08,2019-02-10,Lawrence,KS
Sheridan Hackville   ,https://www.hackville.io/,2019-02-08,2019-02-10,Oakville,ON
UGAHacks 4  ,https://ugahacks.com/,2019-02-08,2019-02-10,Athens,GA
HackDavis,https://www.hackdavis.io/,2019-02-09,2019-02-10,Davis,CA
HackHer413,http://www.hackher413.com,2019-02-09,2019-02-10,Amherst,MA
Hacklahoma,https://hacklahoma.org/,2019-02-09,2019-02-10,Norman,OK
HackRiddle,http://hackriddle.com/,2019-02-09,2019-02-10,Daytona Beach,FL
uOttaHack,https://2019.uottahack.ca/,2019-02-09,2019-02-10,Ottawa,ON
XdHacks,https://xdhacks.com/,2019-02-09,2019-02-10,Vancouver,BC
Hack@CEWIT 2019,https://www.cewit.org/programs/events/hack.php,2019-02-15,2019-02-17,Stony Brook,NY
HackCWRU 6,http://hack.cwru.edu/,2019-02-15,2019-02-17,Cleveland,OH
HackNYU,https://hacknyu.org,2019-02-15,2019-02-17,New York,NY
HopHacks,https://hophacks.com/,2019-02-15,2019-02-17,Baltimore,MD
TreeHacks,https://www.treehacks.com/,2019-02-15,2019-02-17,Stanford,CA
VT Hacks VI,https://vthacks.com/,2019-02-15,2019-02-17,Blacksburg,VA
BrickHack,http://brickhack.io,2019-02-16,2019-02-17,Rochester,NY
cuHacking,https://cuhacking.com/,2019-02-16,2019-02-17,Ottawa,CA
HackHERS,https://ruhackhers.org/,2019-02-16,2019-02-17,New Brunswick,NJ
MakeUofT,https://ieee.utoronto.ca/makeuoft/,2019-02-16,2019-02-17,Toronto,ON
Pearl Hacks,http://pearlhacks.com,2019-02-16,2019-02-17,Chapel Hill,NC
Uncommon Hacks ,https://uncommonhacks.com/,2019-02-16,2019-02-17,Chicago,IL
Hack the Valley III,https://hackthevalley.io/,2019-02-22,2019-02-24,Scarborough,ON
CrimsonCode,http://hackathon.eecs.wsu.edu/,2019-02-23,2019-02-24,Pullman,WA
HackCU,https://hackcu.org/,2019-02-23,2019-02-24,Boulder,CO
HackTCNJ,https://hacktcnj.com/,2019-02-23,2019-02-24,Ewing,NJ
HackUTD,https://www.hackutd.co/,2019-02-23,2019-02-24,Richardson,TX
Hack DHI,https://hackdhi.com/,2019-03-01,2019-03-03,Dolores Hidalgo C.I.N,MX
HackMerced,http://hackmerced.io/,2019-03-01,2019-03-03,Merced,CA
Hacktech,http://hacktech.io,2019-03-01,2019-03-03,Pasadena,CA
Knight Hacks,https://knighthacks.org/,2019-03-01,2019-03-03,Orlando,FL
PickHacks,https://pickhacks.io/,2019-03-01,2019-03-03,Rolla,MO
Steelhacks,http://steelhacks.com,2019-03-01,2019-03-02,Pittsburgh,PA
HACK AE 2019,https://theaeac.org/events/america-east-hackathon-hack-ae/,2019-03-02,2019-03-03,Orono,ME
HooHacks,https://www.hoohacks.io/,2019-03-02,2019-03-03,Charlottesville,VA
RevolutionUC,https://revolutionuc.com/,2019-03-02,2019-03-03,Cincinnati,OH
SF Hacks 2019 ,https://sfhacks.io/,2019-03-02,2019-03-03,San Francisco,CA
WiCHacks,https://wichacks.io/,2019-03-02,2019-03-03,Rochester,NY
cmdf,http://cmd-f.nwplus.io/,2019-03-09,2019-03-10,Vancouver,BC
Hacklassonde,http://hacklassonde.ca/,2019-03-09,2019-03-10,Toronto,ON
HackRU,https://hackru.org/,2019-03-09,2019-03-10,New Brunswick,NJ
MenloHacks,http://menlohacks.com,2019-03-09,2019-03-10,Atherton,CA
Profhacks,https://profhacks.com/,2019-03-09,2019-03-10,Glassboro,NJ
HackPSU,https://hackpsu.org/,2019-03-16,2019-03-17,University Park,PA
HackRPI,https://hackrpi.com/,2019-03-16,2019-03-17,Troy,NY
Cypher V   ,http://cypher.cs.wm.edu/,2019-03-22,2019-03-24,Williamsburg,VA
Hackital,http://hackital.io/,2019-03-22,2019-03-24,Washington,DC
TechTogether Boston  ,https://boston.techtogether.io/,2019-03-22,2019-03-24,Boston,MA
CrimsonHacks,https://www.crimsonhacks.com/,2019-03-23,2019-03-24,Tuscaloosa,AL
Hackabull,https://hackabull.io/,2019-03-23,2019-03-24,Tampa,FL
Los Altos Hacks   ,https://www.losaltoshacks.com/,2019-03-23,2019-03-24,Sunnyvale,CA
MasseyHacks,https://masseyhacks.ca/,2019-03-23,2019-03-24,Windsor,ON
HackGSU,http://hackgsu.com/,2019-03-29,2019-03-31,Atlanta,GA
Hack Puebla,http://ing.pue.itesm.mx/hackathon/,2019-03-29,2019-03-30,Puebla,MX
LA Hacks,http://lahacks.com,2019-03-29,2019-03-31,Los Angeles,CA
CatHacks,http://cathacks.cs.uky.edu/,2019-03-30,2019-03-31,Lexington,KY
HackWCU,https://hackwcu.org/,2019-03-30,2019-03-31,West Chester,PA
LingHacks II ,http://linghacks.tech/linghacks-ii,2019-03-30,2019-03-31,Fremont,CA
AthenaHacks,http://www.athenahacks.com/,2019-04-06,2019-04-07,Los Angeles,CA
HackDartmouth,http://hackdartmouth.io/,2019-04-06,2019-04-07,Hanover,NH
